filename	outdir	comments	type	levels	height	width	mpp_x	mpp_y	comment	Magnification	nonwhite	template1_MSE_hist	template2_MSE_hist	template3_MSE_hist	template4_MSE_hist	michelson_contrast	rms_contrast	grayscale_brightness	chan1_brightness	chan2_brightness	chan3_brightness	chan1_brightness_YUV	chan2_brightness_YUV	chan3_brightness_YUV	pixels_to_use	warnings
TCGA-AO-A0JE-01Z-00-DX1.82D33053-E305-47D8-9B02-B55511EBB06D.svs	./output_tcga-brca\TCGA-AO-A0JE-01Z-00-DX1.82D33053-E305-47D8-9B02-B55511EBB06D.svs	Coverslip edge	aperio	3	39098	61751	0.4992	0.4992	"Aperio Image Library v10.2.24  62992x39198 [0,100 61751x39098] (256x256) JPEG/RGB Q=70|AppMag = 20|StripeWidth = 2032|ScanScope ID = IPTH5003|Filename = 254555|Date = 02/07/11|Time = 15:49:17|User = 878cd1df-3fb9-4d81-997d-1c25651c07af|MPP = 0.4992|Left = 20.757687|Top = 23.656183|LineCameraSkew = 0.000325|LineAreaXOffset = 0.014723|LineAreaYOffset = 0.032050|Focus Offset = -0.000500|DSR ID = ap1251-dsr|ImageID = 254555|Exposure Time = 109|Exposure Scale = 0.000001|DisplayColor = 0|OriginalWidth = 62992|OriginalHeight = 39198|ICC Profile = ScanScope v1"	20	0.59793	0.00125	0.00132	0.0009	0.00092	0.992	0.22946	0.55978	171.25457	132.56245	159.74697	0.57737	0.02416	0.08265	5639356	
TCGA-BH-A0BL-01Z-00-DX1.D5A413B0-2141-4A6F-A671-6C5EA8641D25.svs	./output_tcga-brca\TCGA-BH-A0BL-01Z-00-DX1.D5A413B0-2141-4A6F-A671-6C5EA8641D25.svs	Air Bubble	aperio	4	81571	85450	0.2505	0.2505	"Aperio Image Library v10.2.41  89000x81671 [0,0 85450x81571] (256x256) JPEG/RGB Q=30|AppMag = 40|StripeWidth = 1000|ScanScope ID = SS1248CNTLR|Filename = TCGA-BH-A0BL-01Z-00-DX1|Title = TCGA-BH-A0BL-01Z-00-DX1|Date = 06/08/11|Time = 18:29:40|Time Zone = GMT-04:00|User = e7a90227-eba8-4fea-a625-16cb7e474785|Parmset = GOG136 on RESBPCLACIE01|MPP = 0.2505|Left = 34.655155|Top = 20.541393|LineCameraSkew = 0.001550|LineAreaXOffset = 0.000000|LineAreaYOffset = 0.000000|Focus Offset = 0.000000|DSR ID = resc3-dsr2|ImageID = 67761|Exposure Time = 109|Exposure Scale = 0.000001|DisplayColor = 0|OriginalWidth = 89000|OriginalHeight = 81671|ICC Profile = ScanScope v1"	40	0.79077	0.00308	0.00184	0.00311	0.00092	0.96141	0.23025	0.67103	190.18461	164.60282	179.50252	0.68216	0.01071	0.05585	5381863	
TCGA-BH-A0EA-01Z-00-DX1.85FF2B48-2AF7-4C15-A7E6-FCA68CAB76C7.svs	./output_tcga-brca\TCGA-BH-A0EA-01Z-00-DX1.85FF2B48-2AF7-4C15-A7E6-FCA68CAB76C7.svs	Air Bubble	aperio	4	65146	85450	0.2505	0.2505	"Aperio Image Library v10.2.41  89000x65246 [0,0 85450x65146] (256x256) JPEG/RGB Q=30|AppMag = 40|StripeWidth = 1000|ScanScope ID = SS1248CNTLR|Filename = TCGA-BH-A0EA-01Z-00-DX1|Title = TCGA-BH-A0EA-01Z-00-DX1|Date = 06/07/11|Time = 15:44:19|Time Zone = GMT-04:00|User = e7a90227-eba8-4fea-a625-16cb7e474785|Parmset = GOG136 on RESBPCLACIE01|MPP = 0.2505|Left = 30.228559|Top = 18.569065|LineCameraSkew = 0.001550|LineAreaXOffset = 0.000000|LineAreaYOffset = 0.000000|Focus Offset = 0.000000|DSR ID = resc3-dsr2|ImageID = 67652|Exposure Time = 109|Exposure Scale = 0.000001|DisplayColor = 0|OriginalWidth = 89000|OriginalHeight = 65246|ICC Profile = ScanScope v1"	40	0.68748	0.00158	0.00144	0.00237	0.00112	0.95858	0.19117	0.65518	189.57538	159.07527	180.06859	0.66897	0.0183	0.06532	3737219	
TCGA-BH-A0EI-01Z-00-DX1.929E126A-C9F8-4240-BF00-B6C4A57B7FF6.svs	./output_tcga-brca\TCGA-BH-A0EI-01Z-00-DX1.929E126A-C9F8-4240-BF00-B6C4A57B7FF6.svs	Air Bubble	aperio	4	88865	99852	0.2505	0.2505	"Aperio Image Library v10.2.41  104000x88965 [0,0 99852x88865] (256x256) JPEG/RGB Q=30|AppMag = 40|StripeWidth = 1000|ScanScope ID = SS1248CNTLR|Filename = TCGA-BH-A0EI-01Z-00-DX1|Title = TCGA-BH-A0EI-01Z-00-DX1|Date = 06/08/11|Time = 12:14:29|Time Zone = GMT-04:00|User = e7a90227-eba8-4fea-a625-16cb7e474785|Parmset = GOG136 on RESBPCLACIE01|MPP = 0.2505|Left = 28.436893|Top = 22.362549|LineCameraSkew = 0.001550|LineAreaXOffset = 0.000000|LineAreaYOffset = 0.000000|Focus Offset = 0.000000|DSR ID = resc3-dsr2|ImageID = 67732|Exposure Time = 109|Exposure Scale = 0.000001|DisplayColor = 0|OriginalWidth = 104000|OriginalHeight = 88965|ICC Profile = ScanScope v1"	40	0.51797	0.00281	0.00185	0.00357	0.00116	0.88179	0.18201	0.71113	201.38855	174.43478	190.73951	0.72295	0.01233	0.05861	4487854	
TCGA-BH-A0HF-01Z-00-DX1.1EB2F7CE-54F4-4E41-A3CF-78209770B7CE.svs	./output_tcga-brca\TCGA-BH-A0HF-01Z-00-DX1.1EB2F7CE-54F4-4E41-A3CF-78209770B7CE.svs	Air Bubble	aperio	4	65594	105334	0.2485	0.2485	"Aperio Image Library v10.2.20  110000x65694 [0,100 105334x65594] (256x256) JPEG/RGB Q=30|AppMag = 40|StripeWidth = 1000|ScanScope ID = SS1436CNTLR|Filename = TCGA-BH-A0HF-01Z-00-DX1|Title = TCGA-BH-A0HF-01Z-00-DX1|Date = 12/23/10|Time = 14:37:15|User = ebdd1444-dad6-438c-add5-06cd4952af22|Parmset = GOG136 on RESBPCLACIE01|MPP = 0.2485|Left = 29.817221|Top = 20.001448|LineCameraSkew = 0.000833|LineAreaXOffset = -0.014041|LineAreaYOffset = 0.000544|Focus Offset = -0.000500|DSR ID = resc3-dsr2|ImageID = 43897|Exposure Time = 109|Exposure Scale = 0.000001|DisplayColor = 0|OriginalWidth = 110000|OriginalHeight = 65694|ICC Profile = ScanScope v1"	40	0.38837	0.0034	0.00223	0.00385	0.00139	0.94778	0.19941	0.71579	190.4601	179.01491	193.98813	0.72213	0.019	0.02173	2620971	
TCGA-BH-A42V-01Z-00-DX1.B6D78256-05D1-45FA-826A-1B8554D60B7D.svs	./output_tcga-brca\TCGA-BH-A42V-01Z-00-DX1.B6D78256-05D1-45FA-826A-1B8554D60B7D.svs	Air Bubble	aperio	4	44456	77112	0.2456	0.2456	"Aperio Image Library vFS90 01  80352x44556 [0,100 77112x44456] (240x240) JPEG/RGB Q=30|AppMag = 40|StripeWidth = 992|ScanScope ID = SS1534CNTLR|Filename = TCGA-BH-A42V-01Z-00-DX1|Title = TCGA-BH-A42V-01Z-00-DX1|Date = 12/10/12|Time = 17:49:34|Time Zone = GMT-05:00|User = b222dcdc-3b90-4350-8e0d-7f62a39f2eb4|Parmset = GOG136 on RESBPCLACIE02|MPP = 0.2456|Left = 26.076368|Top = 13.862156|LineCameraSkew = -0.000622|LineAreaXOffset = 0.001338|LineAreaYOffset = -0.001931|Focus Offset = 0.000000|DSR ID = resc3-dsr2|ImageID = 120614|Exposure Time = 109|Exposure Scale = 0.000001|DisplayColor = 0|OriginalWidth = 80352|OriginalHeight = 44556|ICC Profile = ScanScope v1"	40	0.82828	0.00438	0.00276	0.00485	0.00173	1	0.18529	0.73991	196.51986	185.8373	193.7433	0.74483	0.00735	0.02266	2772664	
TCGA-C8-A12P-01Z-00-DX1.670B5DE8-07B0-4E4C-93FA-FA3DFFCCE50D.svs	./output_tcga-brca\TCGA-C8-A12P-01Z-00-DX1.670B5DE8-07B0-4E4C-93FA-FA3DFFCCE50D.svs	Crack	aperio	4	58924	53312	0.2468	0.2468	"Aperio Image Library v10.2.41  55552x59024 [0,100 53312x58924] (240x240) JPEG/RGB Q=30|AppMag = 40|StripeWidth = 992|ScanScope ID = SS1552CNTLR|Filename = TCGA-C8-A12P-01Z-00-DX1|Title = TCGA-C8-A12P-01Z-00-DX1|Date = 08/19/11|Time = 15:35:41|Time Zone = GMT-04:00|User = 255b5b8c-c740-4321-87c8-cdf94e6046ba|Parmset = GOG136 on RESBPCLACIE01|MPP = 0.2468|Left = 18.691525|Top = 21.706438|LineCameraSkew = -0.000950|LineAreaXOffset = 0.006927|LineAreaYOffset = -0.001649|Focus Offset = -0.000500|DSR ID = resc3-dsr2|ImageID = 74978|Exposure Time = 109|Exposure Scale = 0.000001|DisplayColor = 0|OriginalWidth = 55552|OriginalHeight = 59024|ICC Profile = ScanScope v1"	40	0.55058	0.00217	0.00035	0.00327	0.00096	1	0.12959	0.68967	196.85335	167.93208	192.72602	0.70355	0.02571	0.06002	1688695	
TCGA-C8-A12V-01Z-00-DX1.84B29360-B87B-4648-A697-B6610336C2BB.svs	./output_tcga-brca\TCGA-C8-A12V-01Z-00-DX1.84B29360-B87B-4648-A697-B6610336C2BB.svs	Crack	aperio	4	75937	81394	0.2485	0.2485	"Aperio Image Library v10.2.41  85000x76037 [0,100 81394x75937] (256x256) JPEG/RGB Q=30|AppMag = 40|StripeWidth = 1000|ScanScope ID = SS1436CNTLR|Filename = TCGA-C8-A12V-01Z-00-DX1|Title = TCGA-C8-A12V-01Z-00-DX1|Date = 08/18/11|Time = 11:14:06|Time Zone = GMT-04:00|User = 818f77d9-645e-4bae-a4eb-085b0e2a6a16|Parmset = GOG136 on RESBPCLACIE01|MPP = 0.2485|Left = 25.943161|Top = 20.992895|LineCameraSkew = 0.000833|LineAreaXOffset = -0.014041|LineAreaYOffset = 0.000544|Focus Offset = -0.000500|DSR ID = resc3-dsr2|ImageID = 74795|Exposure Time = 109|Exposure Scale = 0.000001|DisplayColor = 0|OriginalWidth = 85000|OriginalHeight = 76037|ICC Profile = ScanScope v1"	40	0.63862	0.00038	0.00061	0.00119	0.00111	1	0.16084	0.58986	176.18618	140.52321	172.59374	0.60723	0.03426	0.07343	3855290	
TCGA-D8-A141-01Z-00-DX2.DBD0D81E-28FC-4466-BDE3-94753BD6CBEB.svs	./output_tcga-brca\TCGA-D8-A141-01Z-00-DX2.DBD0D81E-28FC-4466-BDE3-94753BD6CBEB.svs	Folded Tissue	aperio	4	64679	55775	0.2527	0.2527	"Aperio Image Library v12.0.11   56896x64779 [0,100 55775x64679] (240x240) JPEG/RGB Q=30|AppMag = 40|StripeWidth = 2032|ScanScope ID = SS1764CNTLR|Filename = TCGA-D8-A141-01Z-00-DX2|Title = TCGA-D8-A141-01Z-00-DX2|Date = 03/11/14|Time = 14:31:19|Time Zone = GMT-04:00|User = 45a0a85d-31d6-470a-9338-e9168556e3ed|Parmset = GOG136 on O: Drive|MPP = 0.2527|Left = 23.586472|Top = 20.877790|LineCameraSkew = -0.000153|LineAreaXOffset = 0.011464|LineAreaYOffset = -0.002805|Focus Offset = 0.000000|DSR ID = resc3-dsr2|ImageID = 152931|Exposure Time = 109|Exposure Scale = 0.000001|DisplayColor = 0|OriginalWidth = 56896|OriginalHeight = 64779|ICC Profile = ScanScope v1"	40	0.56348	0.00064	0.00138	0.00029	0.00157	1	0.19307	0.49145	153.22652	114.42653	151.15473	0.51065	0.04041	0.07917	1984933	
TCGA-D8-A1J8-01Z-00-DX2.5DCB3447-548D-442C-86B1-CEF79B8689DF.svs	./output_tcga-brca\TCGA-D8-A1J8-01Z-00-DX2.5DCB3447-548D-442C-86B1-CEF79B8689DF.svs	Folded Tissue	aperio	4	94113	101591	0.2527	0.2527	"Aperio Image Library v12.0.11   103632x94213 [0,100 101591x94113] (240x240) JPEG/RGB Q=30|AppMag = 40|StripeWidth = 2032|ScanScope ID = SS1764CNTLR|Filename = TCGA-D8-A1J8-01Z-00-DX2|Title = TCGA-D8-A1J8-01Z-00-DX2|Date = 03/11/14|Time = 14:46:17|Time Zone = GMT-04:00|User = 45a0a85d-31d6-470a-9338-e9168556e3ed|Parmset = GOG136 on O: Drive|MPP = 0.2527|Left = 16.255310|Top = 24.154518|LineCameraSkew = -0.000153|LineAreaXOffset = 0.011464|LineAreaYOffset = -0.002805|Focus Offset = 0.000000|DSR ID = resc3-dsr2|ImageID = 152933|Exposure Time = 109|Exposure Scale = 0.000001|DisplayColor = 0|OriginalWidth = 103632|OriginalHeight = 94213|ICC Profile = ScanScope v1"	40	0.56227	0.00163	0.00025	0.00261	0.00078	1	0.14591	0.67748	187.81942	166.51828	190.26788	0.68861	0.02832	0.04206	5250308	
